name,city,state,pred_degree,type,region,locale,adm_rate,math_stat,size,cost,student_expend,earnings,debt
Alabama A & M University,Normal,AL,Bachelors,Public,Southeast,City,0.6622,0.0098,5726,23751,6298,40628,31000
University of Alabama at Birmingham,Birmingham,AL,Bachelors,Public,Southeast,City,0.8842,0.0046,12118,27826,17179,54501,22300
Amridge University,Montgomery,AL,Bachelors,Private,Southeast,City,NA,0,226,NA,5671,37621,32189
University of Alabama in Huntsville,Huntsville,AL,Bachelors,Public,Southeast,City,0.7425,0.0147,6650,27098,9461,61767,20705
Alabama State University,Montgomery,AL,Bachelors,Public,Southeast,City,0.9564,0.0084,3322,22028,11082,34502,31000
The University of Alabama,Tuscaloosa,AL,Bachelors,Public,Southeast,City,0.7582,0.0089,32323,32024,9380,59221,22750
Central Alabama Community College,Alexander City,AL,Associates,Public,Southeast,Town,NA,0,1134,19815,7893,33506,9766
Athens State University,Athens,AL,Bachelors,Public,Southeast,Town,NA,0.0234,2407,NA,9639,50273,18051
Auburn University at Montgomery,Montgomery,AL,Bachelors,Public,Southeast,City,0.9263,0.0042,2693,21873,7006,44391,25000
Auburn University,Auburn,AL,Bachelors,Public,Southeast,City,0.5047,0.005,25732,34402,10041,65337,21000
Birmingham-Southern College,Birmingham,AL,Bachelors,Private,Southeast,City,0.5194,0.0288,713,38385,10898,59481,25000
Chattahoochee Valley Community College,Phenix City,AL,Associates,Public,Southeast,Suburb,NA,0,1044,12032,6171,36438,10500
South University-Montgomery,Montgomery,AL,Bachelors,Private,Southeast,City,NA,0,302,30704,7449,34421,26123
Enterprise State Community College,Enterprise,AL,Associates,Public,Southeast,Town,NA,0,1476,14798,6506,42572,7499
Coastal Alabama Community College,Bay Minette,AL,Associates,Public,Southeast,Town,NA,0,4714,15171,6906,34894,11000
Faulkner University,Montgomery,AL,Bachelors,Private,Southeast,City,0.6613,0.0045,1555,36910,8310,43457,23000
Gadsden State Community College,Gadsden,AL,Associates,Public,Southeast,City,NA,0,3619,10687,6030,32937,PS
New Beginning College of Cosmetology,Albertville,AL,Associates,Private,Southeast,Town,NA,0,39,NA,2921,NA,9500
George C Wallace Community College-Dothan,Dothan,AL,Associates,Public,Southeast,City,NA,0,3053,9863,8294,31399,PS
George C Wallace State Community College-Hanceville,Hanceville,AL,Associates,Public,Southeast,Rural,NA,0,4413,18748,6597,39842,11000
George C Wallace State Community College-Selma,Selma,AL,Associates,Public,Southeast,Town,NA,0,828,9505,6918,31598,PS
Herzing University-Birmingham,Birmingham,AL,Associates,Private,Southeast,Suburb,0.9449,0,445,27195,5079,36909,21500
Huntingdon College,Montgomery,AL,Bachelors,Private,Southeast,City,0.7083,0.0173,865,39686,7839,49601,27000
Heritage Christian University,Florence,AL,Bachelors,Private,Southeast,City,1,0,63,NA,7714,42597,PS
J. F. Drake State Community and Technical College,Huntsville,AL,Associates,Public,Southeast,City,NA,0,719,11908,6617,28281,PS
J F Ingram State Technical College,Deatsville,AL,Associates,Public,Southeast,Rural,NA,0,826,NA,9192,NA,PS
Jacksonville State University,Jacksonville,AL,Bachelors,Public,Southeast,Suburb,0.7622,0.0021,7030,23422,6797,45235,22189
Jefferson State Community College,Birmingham,AL,Associates,Public,Southeast,City,NA,0,5443,14384,5831,40719,9689
John C Calhoun State Community College,Tanner,AL,Associates,Public,Southeast,City,NA,0,6928,12687,5541,38192,12000
Lawson State Community College,Birmingham,AL,Associates,Public,Southeast,City,NA,0,2720,15028,8826,31701,PS
University of West Alabama,Livingston,AL,Bachelors,Public,Southeast,Rural,0.8711,0.0176,2666,22402,7978,44232,24944
Lurleen B Wallace Community College,Andalusia,AL,Associates,Public,Southeast,Rural,NA,0,1122,10223,5967,32307,PS
Marion Military Institute,Marion,AL,Associates,Public,Southeast,Rural,0.5917,0,308,18458,5927,59644,9250
Miles College,Fairfield,AL,Bachelors,Private,Southeast,Suburb,NA,0,1151,22900,3907,32627,31217
University of Mobile,Mobile,AL,Bachelors,Private,Southeast,Rural,0.7251,0.0039,1079,38731,8372,43611,26500
University of Montevallo,Montevallo,AL,Bachelors,Public,Southeast,Town,0.539,0.0182,2087,26233,12968,42957,24000
Northwest Shoals Community College,Muscle Shoals,AL,Associates,Public,Southeast,City,NA,0,1924,10894,6314,33828,10000
University of North Alabama,Florence,AL,Bachelors,Public,Southeast,City,0.9648,0.0065,5468,22086,7641,45415,22077
Northeast Alabama Community College,Rainsville,AL,Associates,Public,Southeast,Rural,NA,0,1547,10620,6058,34913,6100
Oakwood University,Huntsville,AL,Bachelors,Private,Southeast,City,0.5051,0.0052,1253,38592,8660,42488,27000
Reid State Technical College,Evergreen,AL,Associates,Public,Southeast,Rural,NA,0,365,9066,8559,28982,PS
Bishop State Community College,Mobile,AL,Associates,Public,Southeast,City,NA,0,2100,11530,6883,29916,PS
Samford University,Birmingham,AL,Bachelors,Private,Southeast,Suburb,0.8223,0.0095,3828,53934,16196,58469,19500
Selma University,Selma,AL,Bachelors,Private,Southeast,Town,NA,0,34,NA,8074,NA,NA
Shelton State Community College,Tuscaloosa,AL,Associates,Public,Southeast,City,NA,0,3191,16607,5724,35014,PS
Snead State Community College,Boaz,AL,Associates,Public,Southeast,Town,NA,0,1494,12583,3866,35735,9000
University of South Alabama,Mobile,AL,Bachelors,Public,Southeast,City,0.6549,0.0058,8540,22070,10579,49379,24929
Spring Hill College,Mobile,AL,Bachelors,Private,Southeast,City,0.591,0.0274,850,37172,8919,51500,27000
Stillman College,Tuscaloosa,AL,Bachelors,Private,Southeast,City,0.7422,0,761,23485,5518,35421,29067
Talladega College,Talladega,AL,Bachelors,Private,Southeast,Town,0.9925,0.0069,782,23441,2342,32229,28500
H Councill Trenholm State Community College,Montgomery,AL,Associates,Public,Southeast,City,NA,0,1584,12148,6196,32183,PS
Troy University,Troy,AL,Bachelors,Public,Southeast,Town,0.9261,9e-4,10089,21816,8185,42062,25000
Tuskegee University,Tuskegee,AL,Bachelors,Private,Southeast,Town,0.3143,0.0024,2367,41924,15926,49641,27000
United States Sports University,Daphne,AL,Bachelors,Private,Southeast,City,0.3529,0,136,NA,9402,55257,PS
Bevill State Community College,Jasper,AL,Associates,Public,Southeast,Town,NA,0,2189,15238,7308,34107,PS
University of Alaska Anchorage,Anchorage,AK,Bachelors,Public,Far West,City,0.6652,0.0021,6916,21848,16250,51871,20210
Alaska Bible College,Palmer,AK,Bachelors,Private,Far West,Suburb,NA,0,34,22101,8702,NA,PS
University of Alaska Fairbanks,Fairbanks,AK,Bachelors,Public,Far West,City,NA,0.0035,4027,21182,20352,48866,20291
University of Alaska Southeast,Juneau,AK,Associates,Public,Far West,Rural,0.625,0.0086,920,16796,18705,48475,19111
Alaska Pacific University,Anchorage,AK,Bachelors,Private,Far West,City,0.8621,0,400,34964,14628,54271,23500
Alaska Vocational Technical Center,Seward,AK,Associates,Public,Far West,Rural,NA,0,452,NA,31891,51083,PS
Charter College,Anchorage,AK,Associates,Private,Far West,City,NA,0,2277,31188,2637,35504,14176
Alaska Career College,Anchorage,AK,Associates,Private,Far West,City,NA,0,255,NA,4279,34468,7377
Empire Beauty School-Tucson,Tucson,AZ,Associates,Private,Southwest,City,NA,0,213,NA,6329,25073,13000
Carrington College-Phoenix North,Phoenix,AZ,Associates,Private,Southwest,City,NA,0,1087,NA,6176,36718,9500
Carrington College-Mesa,Mesa,AZ,Associates,Private,Southwest,City,NA,0,492,NA,8847,36718,9500
Carrington College-Tucson,Tucson,AZ,Associates,Private,Southwest,City,NA,0,437,NA,6515,36718,9500
Arizona Academy of Beauty,Tucson,AZ,Associates,Private,Southwest,City,NA,0,49,NA,2189,21201,5250
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,Associates,Private,Southwest,Suburb,NA,0,513,NA,3785,31102,15917
Brookline College-Phoenix,Phoenix,AZ,Bachelors,Private,Southwest,City,NA,0,714,NA,6859,29576,9500
Arizona State University Campus Immersion,Tempe,AZ,Bachelors,Public,Southwest,City,0.9019,0.012,64398,28047,14362,62668,19500
Arizona Western College,Yuma,AZ,Associates,Public,Southwest,City,NA,0.009,6198,15857,5249,36857,4826
University of Arizona,Tucson,AZ,Bachelors,Public,Southwest,City,0.8566,0.0145,40769,28543,15353,59979,19620
Central Arizona College,Coolidge,AZ,Associates,Public,Southwest,Rural,NA,0,4892,9024,7117,40513,10010
Charles of Italy Beauty College,Lake Havasu City,AZ,Associates,Private,Southwest,City,NA,0,88,NA,4217,26269,7388
Cochise County Community College District,Sierra Vista,AZ,Associates,Public,Southwest,City,NA,0,3007,13638,3195,38033,6750
Empire Beauty School-Chandler,Chandler,AZ,Associates,Private,Southwest,City,NA,0,98,NA,7289,23921,10667
Avalon Institute-Mesa,Mesa,AZ,Associates,Private,Southwest,City,NA,0,388,NA,3691,30803,6332
Eastern Arizona College,Thatcher,AZ,Associates,Public,Southwest,Town,NA,0.0018,3058,16280,5867,38018,PS
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,Bachelors,Private,Southwest,City,0.7519,0,3245,60158,14495,84131,23666
The School of Architecture,Scottsdale,AZ,Graduate,Private,Southwest,City,NA,NA,NA,NA,49104,NA,PS
Glendale Community College,Glendale,AZ,Associates,Public,Southwest,Suburb,NA,0.0015,10180,18056,7541,43108,6960
Grand Canyon University,Phoenix,AZ,Bachelors,Private,Southwest,City,0.6036,0,68619,31493,2367,42186,22114
GateWay Community College,Phoenix,AZ,Associates,Public,Southwest,City,NA,5e-4,3473,18316,8180,46147,6750
Mesa Community College,Mesa,AZ,Associates,Public,Southwest,City,NA,4e-4,12049,18975,7290,44034,7473
Mohave Community College,Kingman,AZ,Associates,Public,Southwest,Rural,NA,0.0021,2750,10952,6286,35522,9700
Universal Technical Institute-Phoenix,Avondale,AZ,Associates,Private,Southwest,Suburb,NA,0,567,NA,3864,48341,13097
Dine College,Tsaile,AZ,Associates,Public,Southwest,Rural,NA,0.0442,1507,13872,6544,29188,PS
Northern Arizona University,Flagstaff,AZ,Bachelors,Public,Southwest,City,0.9095,0.0067,23041,29495,7733,54384,19000
Northland Pioneer College,Holbrook,AZ,Associates,Public,Southwest,Rural,NA,0,1024,14174,8434,34199,PS
Phoenix College,Phoenix,AZ,Associates,Public,Southwest,City,NA,0,6952,18033,7699,40870,6750
Pima Community College,Tucson,AZ,Associates,Public,Southwest,City,NA,0,13869,8916,5666,39810,7000
Pima Medical Institute-Tucson,Tucson,AZ,Associates,Private,Southwest,City,NA,0,2619,NA,3441,38673,9500
Pima Medical Institute-Albuquerque,Albuquerque,NM,Associates,Private,Southwest,City,NA,0,737,NA,6728,30917,5500
Prescott College,Prescott,AZ,Bachelors,Private,Southwest,City,0.9857,0,253,47228,6073,42359,16300
Refrigeration School Inc,Phoenix,AZ,Associates,Private,Southwest,City,NA,0,1271,NA,1852,52953,8233
Rio Salado College,Tempe,AZ,Associates,Public,Southwest,City,NA,0,4879,13740,1971,41015,9500
Roberto-Venn School of Luthiery,Phoenix,AZ,Associates,Private,Southwest,City,NA,0,15,NA,12409,35209,PS
Scottsdale Community College,Scottsdale,AZ,Associates,Public,Southwest,Rural,NA,8e-4,4274,19682,9455,47905,8000
South Mountain Community College,Phoenix,AZ,Associates,Public,Southwest,City,NA,0,2612,17872,7638,39825,8000
Arizona Christian University,Glendale,AZ,Bachelors,Private,Southwest,Suburb,0.7442,0,1127,50950,4139,51612,23000
Universal Technical Institute of Arizona Inc,Avondale,AZ,Associates,Private,Southwest,Suburb,NA,0,1791,NA,3310,52873,13124
Yavapai College,Prescott,AZ,Associates,Public,Southwest,City,NA,0,3732,12642,7890,39890,9000
University of Arkansas at Little Rock,Little Rock,AR,Bachelors,Public,Southeast,City,0.5774,0.007,4740,21013,9119,45265,22000
University of Arkansas for Medical Sciences,Little Rock,AR,Bachelors,Public,Southeast,City,NA,0,1361,NA,44584,73827,14000
Arkansas Baptist College,Little Rock,AR,Bachelors,Private,Southeast,City,NA,0,373,22626,5169,28418,25375
Arkansas Beauty School-Little Rock,Little Rock,AR,Associates,Private,Southeast,City,NA,0,111,NA,1070,18078,6333
Arkansas Beauty College,Russellville,AR,Associates,Private,Southeast,Town,NA,0,56,NA,5020,16857,PS
Lyon College,Batesville,AR,Bachelors,Private,Southeast,Town,0.6554,0.0424,563,44943,20419,44232,21500
Arkansas Technical School,North Little Rock,AR,Associates,Private,Southeast,City,NA,0,111,NA,4263,16209,16500
University of Arkansas,Fayetteville,AR,Bachelors,Public,Southeast,City,0.7167,0.0053,27312,26161,10999,58191,21500
University of Arkansas at Pine Bluff,Pine Bluff,AR,Bachelors,Public,Southeast,Town,0.5754,0.0028,1899,20907,12988,35550,24202
Arkansas State University-Beebe,Beebe,AR,Associates,Public,Southeast,Town,NA,0,1902,14799,5069,36603,8093
Arkansas State University,Jonesboro,AR,Bachelors,Public,Southeast,City,0.6967,0.004,7994,22823,5974,42617,20500
Arkansas Tech University,Russellville,AR,Associates,Public,Southeast,Town,0.9629,0.0058,5993,21536,6777,41766,21000
University of Arkansas at Monticello,Monticello,AR,Associates,Public,Southeast,Town,NA,0.0022,1868,20741,9944,36902,19971
Arthur's Beauty College,Jacksonville,AR,Associates,Private,Southeast,Suburb,NA,0,47,NA,6875,21954,9833
Baptist Health College Little Rock,Little Rock,AR,Associates,Private,Southeast,City,1,0,512,37054,16736,62244,10000
Black River Technical College,Pocahontas,AR,Associates,Public,Southeast,Town,NA,0,938,14624,8741,34818,9500
University of Central Arkansas,Conway,AR,Bachelors,Public,Southeast,City,0.9047,0.0074,7426,24265,8773,45938,20346
Central Baptist College,Conway,AR,Bachelors,Private,Southeast,City,0.4636,0,477,27468,4392,46789,22250
Cossatot Community College of the University of Arkansas,De Queen,AR,Associates,Public,Southeast,Town,NA,0,835,11738,8631,33775,PS
Crowley's Ridge College,Paragould,AR,Bachelors,Private,Southeast,Rural,NA,0,162,25817,3345,39533,26228
East Arkansas Community College,Forrest City,AR,Associates,Public,Southeast,Town,NA,0,492,13028,6512,28471,6000
Paul Mitchell the School-Little Rock,North Little Rock,AR,Associates,Private,Southeast,City,NA,0,411,NA,9274,24765,10725
National Park College,Hot Springs,AR,Associates,Public,Southeast,Suburb,NA,0,1706,17994,8317,32444,10500
University of Arkansas Community College-Batesville,Batesville,AR,Associates,Public,Southeast,Town,NA,0,788,16591,6778,33706,10250
Harding University,Searcy,AR,Bachelors,Private,Southeast,Town,1,0.0043,3323,36385,11289,52876,26500
Henderson State University,Arkadelphia,AR,Bachelors,Public,Southeast,Town,0.8192,0.0038,1491,25946,7540,43459,19500
Hendrix College,Conway,AR,Bachelors,Private,Southeast,City,0.5298,0,1094,52396,12366,60376,26688
Hot Springs Beauty College,Hot Springs,AR,Associates,Private,Southeast,City,NA,0,92,NA,4505,21563,9700
Jefferson Regional School of Nursing,Pine Bluff,AR,Associates,Private,Southeast,Town,NA,0,80,NA,9332,73975,12000
John Brown University,Siloam Springs,AR,Bachelors,Private,Southeast,Town,0.6764,0.0059,1415,43260,10223,53907,21250
Career Academy of Hair Design,Springdale,AR,Associates,Private,Southeast,City,NA,0,244,NA,4793,21567,6365
Academy of Salon and Spa,Fort Smith,AR,Associates,Private,Southeast,City,NA,0,81,NA,5232,16941,4833
Arkansas State University Mid-South,West Memphis,AR,Associates,Public,Southeast,Suburb,NA,0,435,12556,6147,31857,PS
Arkansas Northeastern College,Blytheville,AR,Associates,Public,Southeast,Town,NA,0,787,12037,8925,33169,PS
New Tyler Barber College Inc,North Little Rock,AR,Associates,Private,Southeast,City,NA,0,58,NA,3467,18715,PS
North Arkansas College,Harrison,AR,Associates,Public,Southeast,Town,NA,0,1184,16367,8353,34653,9000
Northwest Technical Institute,Springdale,AR,Associates,Public,Southeast,City,NA,0,217,16032,14781,41513,PS
Ouachita Baptist University,Arkadelphia,AR,Bachelors,Private,Southeast,Town,0.6852,0.0029,1612,45132,9962,51673,21050
Arkansas State University Three Rivers,Malvern,AR,Associates,Public,Southeast,Town,NA,0,514,12748,8221,37374,10250
Ozarka College,Melbourne,AR,Associates,Public,Southeast,Rural,NA,0,564,11461,7491,29314,9818
University of the Ozarks,Clarksville,AR,Bachelors,Private,Southeast,Town,0.5814,0.026,753,35391,12285,44384,20875
University of Arkansas Community College-Morrilton,Morrilton,AR,Associates,Public,Southeast,Town,1,0,1538,17345,5731,34924,10315
Philander Smith University,Little Rock,AR,Bachelors,Private,Southeast,City,NA,0.0362,842,26729,5274,38427,24736
Phillips Community College of the University of Arkansas,Helena,AR,Associates,Public,Southeast,Town,NA,0,595,11778,12091,29552,PS
Southeast Arkansas College,Pine Bluff,AR,Associates,Public,Southeast,Town,NA,0,748,15876,10044,33603,8600
University of Aesthetics & Cosmetology,El Dorado,AR,Associates,Private,Southeast,Town,NA,0,34,NA,2476,26754,9833
University of Arkansas-Pulaski Technical College,North Little Rock,AR,Associates,Public,Southeast,City,NA,0,3791,21096,5635,34722,12080
University of Arkansas Hope-Texarkana,Hope,AR,Associates,Public,Southeast,Town,NA,0,697,13787,6839,34162,PS
University of Arkansas Community College Rich Mountain,Mena,AR,Associates,Public,Southeast,Town,NA,0,475,12933,5251,30037,6500
Paul Mitchell the School-Arkansas,Fayetteville,AR,Associates,Private,Southeast,City,NA,0,107,NA,2083,20077,9833
Searcy Beauty College,Searcy,AR,Associates,Private,Southeast,Town,NA,0,87,NA,1939,19896,12429
Shorter College,N Little Rock,AR,Associates,Private,Southeast,City,NA,0,290,18713,21625,NA,29500
Williams Baptist University,Walnut Ridge,AR,Bachelors,Private,Southeast,Rural,0.5888,0,490,32222,3828,38484,21820
South Arkansas College,El Dorado,AR,Associates,Public,Southeast,Town,NA,0,879,12138,6111,34521,11153
Southern Arkansas University Main Campus,Magnolia,AR,Bachelors,Public,Southeast,Town,0.6659,0.0046,2865,24721,6759,42386,18750
Southern Arkansas University Tech,Camden,AR,Associates,Public,Southeast,Rural,NA,0.0015,663,16488,11787,36376,6000
Velvatex College of Beauty Culture,Little Rock,AR,Associates,Private,Southeast,City,NA,0,12,NA,2913,17412,PS
University of Arkansas-Fort Smith,Fort Smith,AR,Bachelors,Public,Southeast,City,0.8147,0.001,4133,18052,9096,41102,18250
Academy of Art University,San Francisco,CA,Bachelors,Private,Far West,City,NA,0,4131,47195,15380,39008,31000
Academy of Chinese Culture and Health Sciences,Oakland,CA,Graduate,Private,Far West,City,NA,NA,NA,NA,8419,NA,PS
College of Alameda,Alameda,CA,Associates,Public,Far West,Suburb,NA,0.0333,4274,17578,5493,42563,PS
Allan Hancock College,Santa Maria,CA,Associates,Public,Far West,City,NA,0.0131,7812,11544,7308,42786,PS
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,Associates,Private,Far West,City,0.8968,0,169,55265,6498,27019,12000
Berkeley School of Theology,Berkeley,CA,Associates,Private,Far West,City,0.6296,0,28,NA,28220,NA,PS
American Film Institute Conservatory,Los Angeles,CA,Graduate,Private,Far West,City,NA,NA,NA,NA,5704,NA,PS
American Beauty College,West Covina,CA,Associates,Private,Far West,Suburb,NA,0,250,NA,4375,22481,5430
American Career College-Los Angeles,Los Angeles,CA,Associates,Private,Far West,City,NA,0,2066,NA,4671,38430,9500
American River College,Sacramento,CA,Associates,Public,Far West,Suburb,NA,0.0095,25758,12986,5683,40162,9625
Antelope Valley Community College District,Lancaster,CA,Associates,Public,Far West,Suburb,NA,0.0122,10905,15158,8053,36526,12500
Art Center College of Design,Pasadena,CA,Bachelors,Private,Far West,City,0.7498,0,2054,71652,26122,71958,31000
Associated Technical College-Los Angeles,Los Angeles,CA,Associates,Private,Far West,City,NA,0,159,NA,770,24368,9500
Associated Technical College-San Diego,San Diego,CA,Associates,Private,Far West,City,NA,0,77,NA,2417,26688,9500
Azusa Pacific University,Azusa,CA,Bachelors,Private,Far West,Suburb,0.7948,0.0064,2977,54735,11098,66677,23219
Bakersfield College,Bakersfield,CA,Associates,Public,Far West,City,NA,0.0069,16451,13726,6442,37291,8312
Barstow Community College,Barstow,CA,Associates,Public,Far West,Town,NA,0,2585,20871,4724,35104,3500
Bellus Academy-Chula Vista,Chula Vista,CA,Associates,Private,Far West,City,NA,0,379,NA,5219,23576,7917
Bethesda University,Anaheim,CA,Bachelors,Private,Far West,City,NA,0,212,11766,3605,NA,9000
Biola University,La Mirada,CA,Bachelors,Private,Far West,Suburb,0.6008,0.0159,3390,58430,12843,56778,23875
Brownson Technical School,Anaheim,CA,Associates,Private,Far West,City,NA,0,284,NA,4851,68767,9500
Bryan University,Tempe,AZ,Associates,Private,Southwest,City,NA,0,2083,26688,4225,40283,20000
