NAME,population,total_hispanic,total_bs,median_income,pcnt_pop,pcnt_hispanic,pcnt_bs
"Adams County, Colorado",524408,221633,65757,45622,9.024752984714258,42.26346661378164,12.539282390810207
"Alamosa County, Colorado",16515,7900,1767,28256,0.2842134283659974,47.83530124129579,10.69936421435059
"Arapahoe County, Colorado",655709,138906,127692,50116,11.284365903750517,21.184092333641903,19.47388246920509
"Archuleta County, Colorado",13730,2255,2764,40203,0.23628521776961212,16.423889293517842,20.131099781500364
"Baca County, Colorado",3460,370,439,25966,0.059544563254396055,10.69364161849711,12.6878612716763
"Bent County, Colorado",5524,1780,381,26496,0.09506478827089128,32.22302679217958,6.897175959449673
"Boulder County, Colorado",328317,47948,75524,48611,5.650142304622414,14.604178278919457,23.00337783300895
"Broomfield County, Colorado",75110,10381,18623,62731,1.2925988861380602,13.821062441752098,24.794301690853416
"Chaffee County, Colorado",19876,1933,4238,40845,0.3420542598972185,9.725296840410545,21.322197625276715
"Cheyenne County, Colorado",1732,219,196,41725,0.02980670044988843,12.64434180138568,11.316397228637413
"Clear Creek County, Colorado",9358,708,2238,54345,0.16104567136839257,7.565719170762984,23.91536653131011
"Conejos County, Colorado",7536,3773,769,31844,0.12969012389743603,50.06634819532909,10.204352441613588
"Costilla County, Colorado",3571,1985,533,28232,0.06145480791371338,55.58667040044806,14.925791094931393
"Crowley County, Colorado",5734,1644,319,25659,0.09867876465338352,28.67108475758633,5.563306592256715
"Custer County, Colorado",5073,92,910,38693,0.08730334375420555,1.8135225704711218,17.938103686181748
"Delta County, Colorado",31353,4460,3913,32383,0.5395666739060924,14.225114024176314,12.480464389372628
"Denver County, Colorado",713734,199425,177645,54961,12.282941997055815,27.941081691498514,24.889524668854225
"Dolores County, Colorado",2385,296,352,36848,0.0410444460583048,12.41090146750524,14.758909853249477
"Douglas County, Colorado",368283,36431,97722,67451,6.337933638444723,9.892121004770788,26.534485708001725
"Eagle County, Colorado",55374,16729,13541,50532,0.9529539438291699,30.210929317007984,24.453714739769566
"Elbert County, Colorado",27152,2337,4761,54234,0.46726993684490226,8.607100766057748,17.534619917501473
"El Paso County, Colorado",736008,134942,121674,44385,12.666264425358825,18.334311583569743,16.531613786806666
"Fremont County, Colorado",49394,6399,5758,33168,0.8500416639848667,12.955014779122969,11.657286310078147
"Garfield County, Colorado",62034,19867,8700,44206,1.0675686233882096,32.025985749750134,14.0245671728407
"Gilpin County, Colorado",5877,413,1074,54571,0.1011397104757473,7.027394929385741,18.27462991322103
"Grand County, Colorado",15794,1573,3165,43702,0.2718054427861073,9.959478282892238,20.039255413448146
"Gunnison County, Colorado",17158,1691,4723,41531,0.2952790798609617,9.85546100944166,27.52651824221937
"Hinsdale County, Colorado",939,29,231,42578,0.0161596372531439,3.08839190628328,24.600638977635782
"Huerfano County, Colorado",6946,2141,786,31122,0.11953657120376734,30.82349553699971,11.315865246184854
"Jackson County, Colorado",1422,189,171,28765,0.02447178293287607,13.291139240506327,12.025316455696203
"Jefferson County, Colorado",579715,92162,137016,55079,9.976553897983298,15.897811855825708,23.635062056355277
"Kiowa County, Colorado",1356,133,130,36563,0.02333596178409279,9.808259587020649,9.587020648967552
"Kit Carson County, Colorado",7015,1383,618,38480,0.12072402058658624,19.714896650035637,8.809693513898788
"Lake County, Colorado",7411,2606,1399,50630,0.1275389474792859,35.163945486439076,18.877344487923356
"La Plata County, Colorado",56088,7149,12097,43952,0.9652414635296434,12.746041934103552,21.56789331051205
"Larimer County, Colorado",363561,46167,75554,45118,6.256670798072683,12.698556775891804,20.78165699841292
"Las Animas County, Colorado",14392,5614,1230,32206,0.2476778480801353,39.007782101167315,8.546414674819344
"Lincoln County, Colorado",5561,827,891,34789,0.09570153649066372,14.871426002517532,16.022298147815142
"Logan County, Colorado",21067,3530,1713,33370,0.3625506688093531,16.75606398632933,8.131200455688992
"Mesa County, Colorado",157316,23957,23024,37433,2.707315755181668,15.228584505072593,14.635510691855883
"Mineral County, Colorado",799,19,246,29667,0.013750319664815738,2.3779724655819776,30.78848560700876
"Moffat County, Colorado",13258,2178,1411,39815,0.22816237561467714,16.427817166993513,10.642630864383769
"Montezuma County, Colorado",26204,3243,3559,33530,0.4509554148896516,12.37597313387269,13.581895893756679
"Montrose County, Colorado",43272,9195,5881,34684,0.7446856477295452,21.24930671103716,13.590774634867813
"Morgan County, Colorado",29186,10918,2166,37408,0.5022738795210414,37.40834646748441,7.421366408552045
"Otero County, Colorado",18460,7698,1501,32880,0.31768573343241363,41.70097508125677,8.131094257854821
"Ouray County, Colorado",5024,238,1479,44416,0.08646008259829069,4.737261146496816,29.438694267515924
"Park County, Colorado",17739,1315,3754,51181,0.3052777478525236,7.413044703760077,21.162410507920402
"Phillips County, Colorado",4491,1214,568,42544,0.07728746635129846,27.031841460699173,12.647517256735693
"Pitkin County, Colorado",17119,1904,5016,60019,0.2946079128184989,11.122144985104269,29.3007769145394
"Prowers County, Colorado",11931,4750,756,31630,0.20532548675959522,39.812253792641016,6.336434498365602
"Pueblo County, Colorado",168726,70812,19072,36124,2.903675138630413,41.9686355392767,11.30353353958489
"Rio Blanco County, Colorado",6518,685,802,40508,0.11217094314802124,10.50935869898742,12.304387849033446
"Rio Grande County, Colorado",11394,4630,1785,35641,0.19608403286722215,40.63542215200983,15.666140073723012
"Routt County, Colorado",24990,2180,6252,54230,0.4300631895165773,8.723489395758303,25.018007202881154
"Saguache County, Colorado",6511,2404,777,32583,0.11205047726860484,36.922131776992785,11.933650744893258
"San Juan County, Colorado",690,112,167,45625,0.011874493828188809,16.231884057971012,24.20289855072464
"San Miguel County, Colorado",8026,906,2986,49682,0.13812273545658463,11.28831298280588,37.20408671816596
"Sedgwick County, Colorado",2346,437,315,34625,0.04037327901584195,18.627450980392158,13.427109974424553
"Summit County, Colorado",30857,5218,7808,51735,0.5310308058788726,16.910263473442004,25.303820851022458
"Teller County, Colorado",24774,1831,4368,42338,0.4263459566660139,7.390812949059498,17.63138774521676
"Washington County, Colorado",4839,548,566,36780,0.08327634149942847,11.324653854102088,11.696631535441208
"Weld County, Colorado",340711,103804,45440,45155,5.863435748834837,30.46687661977453,13.336816246026691
"Yuma County, Colorado",9921,2862,1061,39613,0.17073456995574085,28.847898397338977,10.694486442898901
