flight_date,marketing_airline,flight_number,origin,destination,destination_city,scheduled_departure,departure_delay_min,departure_delayed_15,arrival_delay_min,arrival_delayed_15,cancelled,cancellation_code,diverted,air_time_min,distance_miles
2025-09-29,UA,4628,DEN,DSM,"Des Moines, IA",2100,11.00,0.00,8.00,0.00,0.00,,0.00,84.00,589.00
2025-09-29,UA,4629,DEN,FAR,"Fargo, ND",1332,0.00,0.00,0.00,0.00,0.00,,0.00,84.00,627.00
2025-09-29,UA,4631,DEN,ICT,"Wichita, KS",2043,9.00,0.00,8.00,0.00,0.00,,0.00,66.00,420.00
2025-09-29,UA,4650,DEN,COS,"Colorado Springs, CO",1920,31.00,1.00,17.00,1.00,0.00,,0.00,20.00,73.00
2025-09-29,UA,4660,DEN,COS,"Colorado Springs, CO",1845,0.00,0.00,0.00,0.00,0.00,,0.00,20.00,73.00
2025-09-29,UA,4663,DEN,BIS,"Bismarck/Mandan, ND",1011,0.00,0.00,0.00,0.00,0.00,,0.00,80.00,516.00
2025-09-29,UA,4664,DEN,BIS,"Bismarck/Mandan, ND",1340,93.00,1.00,73.00,1.00,0.00,,0.00,73.00,516.00
2025-09-29,UA,4665,DEN,BIS,"Bismarck/Mandan, ND",1905,73.00,1.00,67.00,1.00,0.00,,0.00,74.00,516.00
2025-09-29,UA,4668,DEN,BFL,"Bakersfield, CA",1125,0.00,0.00,11.00,0.00,0.00,,0.00,122.00,845.00
2025-09-29,UA,4672,DEN,BFL,"Bakersfield, CA",1915,76.00,1.00,66.00,1.00,0.00,,0.00,124.00,845.00
2025-09-29,UA,4673,DEN,MSP,"Minneapolis, MN",2050,36.00,1.00,28.00,1.00,0.00,,0.00,92.00,680.00
2025-09-29,UA,4674,DEN,RAP,"Rapid City, SD",0935,0.00,0.00,3.00,0.00,0.00,,0.00,47.00,301.00
2025-09-29,UA,4676,DEN,LIT,"Little Rock, AR",1730,61.00,1.00,75.00,1.00,0.00,,0.00,107.00,771.00
2025-09-29,UA,4679,DEN,DRO,"Durango, CO",0830,0.00,0.00,0.00,0.00,0.00,,0.00,46.00,251.00
