"series_key","2020","2021","2022","2023","2024","2025"
"A,I_IUBK,PC_IND,Y16_24,AT",74.65,80.87,77.66,86.26,85.29,84.18
"A,I_IUBK,PC_IND,Y16_24,BE",69.38,72.31,77.31,77.43,79.24,73.64
"A,I_IUBK,PC_IND,Y16_24,BG",12.53,10.96,17.67,20.92,21.12,22.89
"A,I_IUBK,PC_IND,Y16_24,CY",42.56,62.25,46.5,63.99,79.57,72.82
"A,I_IUBK,PC_IND,Y16_24,CZ",61.96,68.03,73.07,77.91,80.69,87.7
"A,I_IUBK,PC_IND,Y16_24,DE",57.89,49.03,45.03,54.82,63.76,70.79
"A,I_IUBK,PC_IND,Y16_24,DK",93.86,94.4,97.29,96.93,98.82,98.31
"A,I_IUBK,PC_IND,Y16_24,EE",87.57,87.13,89.33,90.51,88.91,90.84
"A,I_IUBK,PC_IND,Y16_24,EL",28.59,42.71,49.88,41.5,50.44,64.49
"A,I_IUBK,PC_IND,Y16_24,ES",53.13,52.42,62.07,66.46,69.37,70.66
"A,I_IUBK,PC_IND,Y16_24,FI",86.55,91.53,94.56,92.72,94.24,92.27
"A,I_IUBK,PC_IND,Y16_24,FR",NA,69.34,71.35,70.33,73.47,77.12
"A,I_IUBK,PC_IND,Y16_24,HR",65.83,70.18,66.65,75.64,74.55,76.43
"A,I_IUBK,PC_IND,Y16_24,HU",50.79,53.28,58.85,68.06,71.63,78.19
"A,I_IUBK,PC_IND,Y16_24,IE",NA,NA,NA,78.39,84.29,95.65
"A,I_IUBK,PC_IND,Y16_24,IT",32.83,33.65,38,40.38,45.36,45.92
"A,I_IUBK,PC_IND,Y16_24,LT",79.36,82.7,80.2,87.17,83.47,87.55
"A,I_IUBK,PC_IND,Y16_24,LU",47.72,47.75,57.36,53.38,61.68,54.06
"A,I_IUBK,PC_IND,Y16_24,LV",86.09,86.75,91.57,89.62,90.83,92.6
"A,I_IUBK,PC_IND,Y16_24,MT",67.62,71.28,78.61,79.05,81.77,81.11
"A,I_IUBK,PC_IND,Y16_24,NL",90.74,91.07,90,97.67,96.68,95.67
"A,I_IUBK,PC_IND,Y16_24,PL",41.16,44.5,49.81,54.97,50.62,57.61
"A,I_IUBK,PC_IND,Y16_24,PT",51.49,56.74,63.51,61.09,68.08,62.35
"A,I_IUBK,PC_IND,Y16_24,RO",10.58,10.5,19,19.38,24.19,35.06
"A,I_IUBK,PC_IND,Y16_24,SE",62.03,62.07,61.8,57.88,60.81,52.5
"A,I_IUBK,PC_IND,Y16_24,SI",45.7,48.83,55.53,63.32,71.36,70.79
"A,I_IUBK,PC_IND,Y16_24,SK",56.05,62.53,54.96,56.48,60.4,63.49
"A,I_IUBK,PC_IND,Y25_64,AT",70.49,76.21,78.09,81.38,82.74,82.96
"A,I_IUBK,PC_IND,Y25_64,BE",80.37,79.03,82.64,82.75,87.42,82.5
"A,I_IUBK,PC_IND,Y25_64,BG",15.1,18.37,27.55,28.89,38.85,38.59
"A,I_IUBK,PC_IND,Y25_64,CY",59.68,71.48,73.71,78.66,86.45,85.35
"A,I_IUBK,PC_IND,Y25_64,CZ",79.3,81.64,85.47,88.48,90.75,91.03
"A,I_IUBK,PC_IND,Y25_64,DE",70.76,54.65,52.99,61.78,72.24,75.12
"A,I_IUBK,PC_IND,Y25_64,DK",96.24,95.84,95.15,96.99,98.2,97.58
"A,I_IUBK,PC_IND,Y25_64,EE",85.73,87.28,88.72,89.39,88.78,92.34
"A,I_IUBK,PC_IND,Y25_64,EL",43.23,48.6,57.14,60.95,61.59,70.85
"A,I_IUBK,PC_IND,Y25_64,ES",68.76,72.09,75.75,76.9,80.37,79.92
"A,I_IUBK,PC_IND,Y25_64,FI",96.18,96.71,97.74,97.82,97.43,97.99
"A,I_IUBK,PC_IND,Y25_64,FR",NA,76.42,72.32,76.7,75.09,82
"A,I_IUBK,PC_IND,Y25_64,HR",57.59,62.88,68.14,70.04,71.53,74.88
"A,I_IUBK,PC_IND,Y25_64,HU",57.37,62.75,68.39,72.01,72.88,74.04
"A,I_IUBK,PC_IND,Y25_64,IE",73.78,78.56,88.9,86.49,88.65,96.44
"A,I_IUBK,PC_IND,Y25_64,IT",44.96,51.87,54.99,58.39,61.32,62.53
"A,I_IUBK,PC_IND,Y25_64,LT",74.47,78.74,82.32,81.6,86.34,85.53
"A,I_IUBK,PC_IND,Y25_64,LU",76.03,75.69,73.55,75,80.36,79.3
"A,I_IUBK,PC_IND,Y25_64,LV",81.3,84.48,87.44,89.24,89.71,90.06
"A,I_IUBK,PC_IND,Y25_64,MT",67.29,69.3,71.97,72.31,78.68,82.79
"A,I_IUBK,PC_IND,Y25_64,NL",91,92.45,92.76,96.36,97.27,96.52
"A,I_IUBK,PC_IND,Y25_64,PL",57.22,60.48,63.58,67.23,65.81,66.15
"A,I_IUBK,PC_IND,Y25_64,PT",53.96,60.41,64.65,67.37,71.11,74.6
"A,I_IUBK,PC_IND,Y25_64,RO",13.74,19.21,22.42,26.2,32.86,35.44
"A,I_IUBK,PC_IND,Y25_64,SE",90.34,88.81,88.48,90.12,87.52,87.37
"A,I_IUBK,PC_IND,Y25_64,SI",58.87,64.73,64.32,67.75,70.67,71.54
"A,I_IUBK,PC_IND,Y25_64,SK",64.9,62.65,51.97,63.54,62.92,65.07
"A,I_IUBK,PC_IND,Y65_74,AT",29.35,34.97,41.2,45.52,47.52,53.98
"A,I_IUBK,PC_IND,Y65_74,BE",55,58.89,65.69,66.08,68.28,70.5
"A,I_IUBK,PC_IND,Y65_74,BG",1.62,2.24,3.35,3.46,7.98,6.66
"A,I_IUBK,PC_IND,Y65_74,CY",14.98,24.67,23.2,31.27,46.96,41.27
"A,I_IUBK,PC_IND,Y65_74,CZ",30.66,35.54,42.41,43.73,53.63,53.92
"A,I_IUBK,PC_IND,Y65_74,DE",39.4,29.45,29.65,37.32,44.33,49.74
"A,I_IUBK,PC_IND,Y65_74,DK",85.86,88.91,87.55,91.78,94.55,97.01
"A,I_IUBK,PC_IND,Y65_74,EE",43.15,48.58,52.57,58.32,52.65,60.46
"A,I_IUBK,PC_IND,Y65_74,EL",11.07,12.62,14.96,17.74,22.43,26.87
"A,I_IUBK,PC_IND,Y65_74,ES",32.65,38.24,42.99,46.8,51.17,51.54
"A,I_IUBK,PC_IND,Y65_74,FI",80.73,80.98,82.32,82.48,85.42,87.67
"A,I_IUBK,PC_IND,Y65_74,FR",NA,52.48,45.14,55.66,56.38,63.31
"A,I_IUBK,PC_IND,Y65_74,HR",9.61,15.68,15.2,18.95,18.91,25.43
"A,I_IUBK,PC_IND,Y65_74,HU",23.09,27.24,29.83,34.45,35.89,40.02
"A,I_IUBK,PC_IND,Y65_74,IE",46.71,67.72,44.13,67.17,80.04,86.18
"A,I_IUBK,PC_IND,Y65_74,IT",18.66,23.98,25.85,29.23,33.95,36.7
