date,state,death,deathConfirmed,deathIncrease,deathProbable
3/7/21,AK,305,,0,
3/7/21,AL,10148,7963,-1,2185
3/7/21,AR,5319,4308,22,1011
3/7/21,AS,0,,0,
3/7/21,AZ,16328,14403,5,1925
3/7/21,CA,54124,,258,
3/7/21,CO,5989,5251,3,735
3/7/21,CT,7704,6327,0,1377
3/7/21,DC,1030,,0,
3/7/21,DE,1473,1337,9,136
3/7/21,FL,32266,,66,
3/7/21,GA,17906,15598,1,2308
3/7/21,GU,133,,0,
3/7/21,HI,445,445,1,
3/7/21,IA,5558,,6,
3/7/21,ID,1879,1652,3,227
3/7/21,IL,23014,20763,12,2251
3/7/21,IN,12737,12310,11,427
3/7/21,KS,4812,,0,
3/7/21,KY,4819,4369,13,450
3/7/21,LA,9748,9033,32,715
3/7/21,MA,16417,16085,43,332
3/7/21,MD,7955,7773,14,182
3/7/21,ME,706,683,2,23
3/7/21,MI,16658,15666,0,992
3/7/21,MN,6550,6276,4,274
3/7/21,MO,8161,,0,
3/7/21,MP,2,2,0,
3/7/21,MS,6808,4737,3,2071
3/7/21,MT,1381,,0,
3/7/21,NC,11502,10169,0,1333
3/7/21,ND,1478,,0,
3/7/21,NE,2113,,0,
3/7/21,NH,1184,,3,
3/7/21,NJ,23574,21177,17,2397
3/7/21,NM,3808,,12,
3/7/21,NV,5037,,1,
3/7/21,NY,39029,,59,
3/7/21,OH,17656,14752,0,2594
3/7/21,OK,4534,,0,
3/7/21,OR,2296,,3,
3/7/21,PA,24349,,32,
3/7/21,PR,2059,1749,0,310
3/7/21,RI,2541,,0,
3/7/21,SC,8754,7744,35,1010
3/7/21,SD,1900,,2,
3/7/21,TN,11543,9278,0,2265
3/7/21,TX,44451,,84,
3/7/21,UT,1976,,1,
3/7/21,VA,9596,8104,77,1492
3/7/21,VI,25,25,0,
3/7/21,VT,208,,0,
3/7/21,WA,5041,,0,
3/7/21,WI,7106,6481,4,625
3/7/21,WV,2325,1981,2,344
3/7/21,WY,682,,0,
3/6/21,AK,305,,0,
3/6/21,AL,10149,7963,27,2186
3/6/21,AR,5297,4302,14,995
3/6/21,AS,0,,0,
3/6/21,AZ,16323,14395,54,1928
3/6/21,CA,53866,,418,
3/6/21,CO,5986,5251,0,735
3/6/21,CT,7704,6327,0,1377
3/6/21,DC,1030,,3,
3/6/21,DE,1464,1328,11,136
3/6/21,FL,32200,,107,
3/6/21,GA,17905,15597,90,2308
3/6/21,GU,133,,0,
3/6/21,HI,444,444,1,
3/6/21,IA,5552,,3,
3/6/21,ID,1876,1649,0,227
3/6/21,IL,23002,20750,56,2252
3/6/21,IN,12726,12299,29,427
3/6/21,KS,4812,,0,
3/6/21,KY,4806,4356,52,450
3/6/21,LA,9716,9007,0,709
3/6/21,MA,16374,16044,52,330
3/6/21,MD,7941,7759,11,182
3/6/21,ME,704,681,0,23
3/6/21,MI,16658,15666,57,992
3/6/21,MN,6546,6272,12,274
3/6/21,MO,8161,,3,
3/6/21,MP,2,2,0,
3/6/21,MS,6805,4734,22,2071
3/6/21,MT,1381,,2,
3/6/21,NC,11502,10169,56,1333
3/6/21,ND,1478,,0,
