planet,host_star,num_stars,num_planets,discovery_year,discovery_method,discovery_facility,orbital_period_days,orbit_au,radius_earth,mass_earth,equilibrium_temp_k,star_temp_k,distance_pc
11 Com b,11 Com,2,1,2007,Radial Velocity,Xinglong Station,323.21,1.178,,4914.898486,,4874,93.1846
11 UMi b,11 UMi,1,1,2009,Radial Velocity,Thueringer Landessternwarte Tautenburg,516.21997,1.53,,4684.8142,,4213,125.321
14 And b,14 And,1,1,2008,Radial Velocity,Okayama Astrophysical Observatory,186.76,0.775,,1131.151301,,4888,75.4392
14 Her b,14 Her,1,2,2002,Radial Velocity,W. M. Keck Observatory,,2.839,,2828.672822,,,17.9323
16 Cyg B b,16 Cyg B,3,1,1996,Radial Velocity,Multiple Observatories,798.5,1.66,,565.7374,,5750,21.1397
17 Sco b,17 Sco,1,1,2020,Radial Velocity,Lick Observatory,578.38,1.45,,1373.018718,,4157,124.953
18 Del b,18 Del,2,1,2008,Radial Velocity,Okayama Astrophysical Observatory,982.85,2.476,,2926.246143,,4980,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,2008,Imaging,Gemini Observatory,,330,,3000,1700,4060,139.135
24 Boo b,24 Boo,1,1,2018,Radial Velocity,Okayama Astrophysical Observatory,30.33,0.194,,280.6424834,,4816,95.9863
24 Sex b,24 Sex,1,2,2010,Radial Velocity,Lick Observatory,452.8,1.333,,632.46,,5098,72.0691
24 Sex c,24 Sex,1,2,2010,Radial Velocity,Lick Observatory,883,2.08,,273.32,,5098,72.0691
2M0437 b,2MASS J04372171+2651014,1,1,2021,Imaging,Subaru Telescope,,118,,1271.313628,1450,3100,128.484
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,2013,Imaging,Paranal Observatory,,84,,4131.79,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,2013,Imaging,W. M. Keck Observatory,,52,,7786.5,,3530,33.8281
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,2015,Imaging,Cerro Tololo Inter-American Observatory,,156,16.14096,4417.837,,3064,
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,2018,Imaging,Mauna Kea Observatory,,,17.37392009,3616.887272,1723,,66.0613
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,2024,Imaging,European Space Agency (ESA) Gaia Satellite,,572,,5720.911326,2369,,117.435
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,2010,Imaging,Hubble Space Telescope,,15,,2383.6,,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,2024,Imaging,European Space Agency (ESA) Gaia Satellite,,266,,8899.195396,2677,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,2024,Imaging,European Space Agency (ESA) Gaia Satellite,,587,,6356.56814,2506,,100.862
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,2004,Imaging,Paranal Observatory,,,15.69257298,1652.707716,1163,,64.308
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,2015,Eclipse Timing Variations,Kepler,406,,,591.160837,,29564,396.332
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,2024,Imaging,European Space Agency (ESA) Gaia Satellite,,7493,,3813.940884,1616,,34.1154
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,2016,Imaging,W. M. Keck Observatory,,230,,3972.875,,4045,69.5737
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,2018,Imaging,The 2 (Two) Micron All Sky Survey (2MASS),,518,,9534.85221,1600,,57.2309
4 UMa b,4 UMa,1,1,2006,Radial Velocity,Thueringer Landessternwarte Tautenburg,270.27,0.877,,2511.480072,,4415,73.4603
