"country_code","country","year","age_group","online_shopping"
"AT","Austria",2020,"Y16_24",87.43
"AT","Austria",2020,"Y25_64",69.18
"AT","Austria",2020,"Y65_74",28.32
"AT","Austria",2021,"Y16_24",77.82
"AT","Austria",2021,"Y25_64",66.6
"AT","Austria",2021,"Y65_74",30.31
"AT","Austria",2022,"Y16_24",81.19
"AT","Austria",2022,"Y25_64",69.58
"AT","Austria",2022,"Y65_74",29.27
"AT","Austria",2023,"Y16_24",84.39
"AT","Austria",2023,"Y25_64",76.33
"AT","Austria",2023,"Y65_74",37.94
"AT","Austria",2024,"Y16_24",78.14
"AT","Austria",2024,"Y25_64",75.44
"AT","Austria",2024,"Y65_74",38.49
"AT","Austria",2025,"Y16_24",88.33
"AT","Austria",2025,"Y25_64",75.54
"AT","Austria",2025,"Y65_74",44.2
"BE","Belgium",2020,"Y16_24",80.85
"BE","Belgium",2020,"Y25_64",76.94
"BE","Belgium",2020,"Y65_74",42.65
"BE","Belgium",2021,"Y16_24",87.87
"BE","Belgium",2021,"Y25_64",78.1
"BE","Belgium",2021,"Y65_74",47.59
"BE","Belgium",2022,"Y16_24",82.68
"BE","Belgium",2022,"Y25_64",79.08
"BE","Belgium",2022,"Y65_74",45.27
"BE","Belgium",2023,"Y16_24",83.93
"BE","Belgium",2023,"Y25_64",78.8
"BE","Belgium",2023,"Y65_74",49.14
"BE","Belgium",2024,"Y16_24",81.78
"BE","Belgium",2024,"Y25_64",80.87
"BE","Belgium",2024,"Y65_74",48.5
"BE","Belgium",2025,"Y16_24",89.32
"BE","Belgium",2025,"Y25_64",82.79
"BE","Belgium",2025,"Y65_74",50.54
"BG","Bulgaria",2020,"Y16_24",47.72
"BG","Bulgaria",2020,"Y25_64",34.79
"BG","Bulgaria",2020,"Y65_74",3.8
"BG","Bulgaria",2021,"Y16_24",45.04
"BG","Bulgaria",2021,"Y25_64",37.38
"BG","Bulgaria",2021,"Y65_74",6.72
"BG","Bulgaria",2022,"Y16_24",56.49
"BG","Bulgaria",2022,"Y25_64",45.98
"BG","Bulgaria",2022,"Y65_74",6.64
"BG","Bulgaria",2023,"Y16_24",63.05
"BG","Bulgaria",2023,"Y25_64",51.56
"BG","Bulgaria",2023,"Y65_74",9.81
"BG","Bulgaria",2024,"Y16_24",59.85
"BG","Bulgaria",2024,"Y25_64",57.21
"BG","Bulgaria",2024,"Y65_74",14.37
"BG","Bulgaria",2025,"Y16_24",67.74
"BG","Bulgaria",2025,"Y25_64",57.07
"BG","Bulgaria",2025,"Y65_74",17.74
"CY","Cyprus",2020,"Y16_24",59.89
"CY","Cyprus",2020,"Y25_64",50.76
"CY","Cyprus",2020,"Y65_74",9.93
"CY","Cyprus",2021,"Y16_24",70.94
"CY","Cyprus",2021,"Y25_64",57.47
"CY","Cyprus",2021,"Y65_74",12.82
"CY","Cyprus",2022,"Y16_24",63.3
"CY","Cyprus",2022,"Y25_64",54.26
"CY","Cyprus",2022,"Y65_74",10.69
"CY","Cyprus",2023,"Y16_24",68.14
"CY","Cyprus",2023,"Y25_64",62.35
"CY","Cyprus",2023,"Y65_74",12.1
"CY","Cyprus",2024,"Y16_24",82.12
"CY","Cyprus",2024,"Y25_64",69.93
"CY","Cyprus",2024,"Y65_74",18.86
"CY","Cyprus",2025,"Y16_24",77.16
"CY","Cyprus",2025,"Y25_64",70.01
"CY","Cyprus",2025,"Y65_74",16.39
"CZ","Czechia",2020,"Y16_24",85.45
"CZ","Czechia",2020,"Y25_64",78.6
"CZ","Czechia",2020,"Y65_74",30.41
"CZ","Czechia",2021,"Y16_24",86.51
"CZ","Czechia",2021,"Y25_64",82.71
"CZ","Czechia",2021,"Y65_74",34.97
