SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,NPOPCHG_2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025
010,0,0,00,United States,331578104,332100166,333996304,336755052,340003797,341784857,61991,522062,1896138,2758748,3248745,1781060,894123,3584459,3680380,3648896,3608217,3620461,852024,3438423,3456354,3154285,3093940,3101603,42099,146036,224026,494611,514277,518858,19892,376026,1672112,2264137,2734468,1262202,0,0,0,0,0,0,19892,376026,1672112,2264137,2734468,1262202,0,0,0,0,0,0
020,1,0,00,Northeast Region,57436027,57234503,57174375,57458539,57940522,58042054,-181533,-201524,-60128,284164,481983,101532,146070,572863,588925,579757,574926,572507,193427,561002,564109,528693,516722,512934,-47357,11861,24816,51064,58204,59573,4433,80448,344754,510609,605435,246382,-130285,-288705,-426289,-274149,-179324,-205552,-125852,-208257,-81535,236460,426111,40830,-8324,-5128,-3409,-3360,-2332,1129
030,1,1,00,New England,15047713,15116021,15178293,15267275,15386901,15431980,-74374,68308,62272,88982,119626,45079,35403,139204,144796,142380,140797,141449,46227,143819,149534,143562,142128,140006,-10824,-4615,-4738,-1182,-1331,1443,1563,26730,110006,121848,135265,70763,-55434,43201,-38619,-30013,-13340,-27602,-53871,69931,71387,91835,121925,43161,-9679,2992,-4377,-1671,-968,475
030,1,2,00,Middle Atlantic,42388314,42118482,41996082,42191264,42553621,42610074,-107159,-269832,-122400,195182,362357,56453,110667,433659,444129,437377,434129,431058,147200,417183,414575,385131,374594,372928,-36533,16476,29554,52246,59535,58130,2870,53718,234748,388761,470170,175619,-74851,-331906,-387670,-244136,-165984,-177950,-71981,-278188,-152922,144625,304186,-2331,1355,-8120,968,-1689,-1364,654
020,2,0,00,Midwest Region,68979566,68867096,68872112,69132050,69518281,69762666,-19896,-112470,5016,259938,386231,244385,190006,747473,753901,744414,735192,737743,186270,762711,771578,701318,684822,691326,3736,-15238,-17677,43096,50370,46417,3082,55297,218638,314946,382875,180161,-37458,-175434,-180661,-91566,-43686,16040,-34376,-120137,37977,223380,339189,196201,10744,22905,-15284,-6538,-3328,1767
030,2,3,00,East North Central,47353837,47203510,47163396,47315626,47555538,47693655,-27639,-150327,-40114,152230,239912,138117,127310,500297,504103,496475,490580,490449,133469,530478,537461,485626,472717,475551,-6159,-30181,-33358,10849,17863,14898,1990,37011,158278,231180,275271,129075,-31173,-172366,-154584,-85055,-50632,-7114,-29183,-135355,3694,146125,224639,121961,7703,15209,-10450,-4744,-2590,1258
030,2,4,00,West North Central,21625729,21663586,21708716,21816424,21962743,22069011,7743,37857,45130,107708,146319,106268,62696,247176,249798,247939,244612,247294,52801,232233,234117,215692,212105,215775,9895,14943,15681,32247,32507,31519,1092,18286,60360,83766,107604,51086,-6285,-3068,-26077,-6511,6946,23154,-5193,15218,34283,77255,114550,74240,3041,7696,-4834,-1794,-738,509
020,3,0,00,South Region,126473371,127380165,129066102,130894372,132662072,133833983,191766,906794,1685937,1828270,1767700,1171911,348450,1427445,1481260,1488839,1472891,1481266,314317,1404166,1415258,1268450,1256122,1258400,34133,23279,66002,220389,216769,222866,8937,155227,757942,919367,1146872,596005,154622,732442,836925,677221,398525,357790,163559,887669,1594867,1596588,1545397,953795,-5926,-4154,25068,11293,5534,-4750
030,3,5,00,South Atlantic,66176335,66686315,67671784,68680474,69586214,70198706,78313,509980,985469,1008690,905740,612492,172327,699936,728467,728106,720902,726922,168537,727706,744850,673836,666037,664595,3790,-27770,-16383,54270,54865,62327,5995,97729,475583,560519,617293,349644,77805,447313,507501,385372,229300,203812,83800,545042,983084,945891,846593,553456,-9277,-7292,18768,8529,4282,-3291
030,3,6,00,East South Central,19427354,19472696,19602668,19763302,19948564,20069188,22047,45342,129972,160634,185262,120624,54324,223503,227935,229537,227320,228238,56467,258569,260942,231238,228831,229519,-2143,-35066,-33007,-1701,-1511,-1281,522,7308,47001,67578,113031,50096,23105,69814,114362,93969,73356,72099,23627,77122,161363,161547,186387,122195,563,3286,1616,788,386,-290
030,3,7,00,West South Central,40869682,41221154,41791650,42450596,43127294,43566089,91406,351472,570496,658946,676698,438795,121799,504006,524858,531196,524669,526106,89313,417891,409466,363376,361254,364286,32486,86115,115392,167820,163415,161820,2420,50190,235358,291270,416548,196265,53712,215315,215062,197880,95869,81879,56132,265505,450420,489150,512417,278144,2788,-148,4684,1976,866,-1169
020,4,0,00,West Region,78689140,78618402,78883715,79270091,79882922,80146154,71654,-70738,265313,386376,612831,263232,209597,836678,856294,835886,825208,828945,158010,710544,705409,655824,636274,638943,51587,126134,150885,180062,188934,190002,3440,85054,350778,519215,599286,239654,13121,-268303,-229975,-311506,-175515,-168278,16561,-183249,120803,207709,423771,71376,3506,-13623,-6375,-1395,126,1854
030,4,8,00,Mountain,25006940,25284969,25554105,25829773,26153377,26346149,78608,278029,269136,275668,323604,192772,68891,276996,282650,280129,279591,285113,54956,241496,250419,222898,220909,223624,13935,35500,32231,57231,58682,61489,1020,21407,87626,145878,185588,67811,64719,220677,148323,73506,78773,62734,65739,242084,235949,219384,264361,130545,-1066,445,956,-947,561,738
030,4,9,00,Pacific,53682200,53333433,53329610,53440318,53729545,53800005,-6954,-348767,-3823,110708,289227,70460,140706,559682,573644,555757,545617,543832,103054,469048,454990,432926,415365,415319,37652,90634,118654,122831,130252,128513,2420,63647,263152,373337,413698,171843,-51598,-488980,-378298,-385012,-254288,-231012,-49178,-425333,-115146,-11675,159410,-59169,4572,-14068,-7331,-448,-435,1116
040,3,6,01,Alabama,5032962,5050058,5076868,5117850,5163055,5193088,7525,17096,26810,40982,45205,30033,13899,57327,58251,58640,57648,57680,15121,69137,67263,60111,59508,59868,-1222,-11810,-9012,-1471,-1860,-2188,134,1808,8391,12621,22102,8946,9450,25795,27718,29774,24953,23358,9584,27603,36109,42395,47055,32304,-837,1303,-287,58,10,-83
040,4,9,02,Alaska,732906,734590,733659,734654,736537,737270,-477,1684,-931,995,1883,733,2408,9460,9392,9130,9037,8867,1193,5431,6470,5616,5620,5559,1215,4029,2922,3514,3417,3308,63,873,1976,2335,2608,1959,-1697,-3043,-5909,-4913,-4183,-4525,-1634,-2170,-3933,-2578,-1575,-2566,-58,-175,80,59,41,-9
040,4,8,04,Arizona,7186647,7274022,7370065,7452073,7556424,7623818,28543,87375,96043,82008,104351,67394,18108,75661,79135,78678,78372,78926,18083,80332,79842,70826,69279,71277,25,-4671,-707,7852,9093,7649,249,8016,26676,39747,60743,28219,29864,84233,68315,34804,34303,31107,30113,92249,94991,74551,95046,59326,-1595,-203,1759,-395,212,419
040,3,7,05,Arkansas,3014399,3027127,3047429,3069856,3096080,3114791,2869,12728,20302,22427,26224,18711,8518,34950,36160,35330,35272,35414,8462,40142,40393,36406,36294,36638,56,-5192,-4233,-1076,-1022,-1224,95,1348,6017,5592,13244,5470,2524,16218,18583,17825,13919,14475,2619,17566,24600,23417,27163,19945,194,354,-65,86,83,-10
040,4,9,06,California,39527808,39152927,39125347,39181667,39364774,39355309,-27895,-374881,-27580,56320,183107,-9465,103116,412508,424110,410395,400854,398632,74350,344771,318097,303116,289060,288917,28766,67737,106013,107279,111794,109715,1388,44122,214150,292113,312761,109278,-62399,-470759,-344130,-343891,-241611,-229077,-61011,-426637,-129980,-51778,71150,-119799,4350,-15981,-3613,819,163,619
040,4,8,08,Colorado,5786873,5814368,5853355,5912240,5988502,6012561,11547,27495,38987,58885,76262,24059,15563,62064,62598,62233,62517,65380,11888,46505,49604,45204,44713,44772,3675,15559,12994,17029,17804,20608,239,3917,21473,35920,53313,15356,7201,6200,5425,6008,4995,-12100,7440,10117,26898,41928,58308,3256,432,1819,-905,-72,150,195
040,1,1,09,Connecticut,3579643,3607765,3618707,3641369,3674449,3688496,-28107,28122,10942,22662,33080,14047,8460,33924,35611,35082,34584,34700,11936,34598,34903,33014,32883,32417,-3476,-674,708,2068,1701,2283,409,6216,22859,27669,35456,17534,-21208,20664,-11105,-6498,-3827,-5945,-20799,26880,11754,21171,31629,11589,-3832,1916,-1520,-577,-250,175
