Economy,Code,Region,Income group,Random,Lending category
Afghanistan,AFG,MEA,LIC,121,IDA
Albania,ALB,ECS,UMC,329,IBRD
Algeria,DZA,MEA,UMC,,IBRD
American Samoa,ASM,EAS,HIC,394,??
Andorra,AND,ECS,HIC,NA,N/A
Angola,AGO,SSF,LMC,342,IBRD
Antigua and Barbuda,ATG,LCN,HIC,198,IBRD
Argentina,ARG,LCN,UMC,??,IBRD
Armenia,ARM,ECS,UMC,92,IBRD
Aruba,ABW,LCN,HIC,350,missing
Australia,AUS,EAS,HIC,324,NA
Austria,AUT,ECS,HIC,47,
Azerbaijan,AZE,ECS,UMC,349,IBRD
"Bahamas, The",BHS,LCN,HIC,439,
Bahrain,BHR,MEA,HIC,274,
Bangladesh,BGD,SAS,LMC,351,IDA
Barbados,BRB,LCN,HIC,431,IBRD
Belarus,BLR,ECS,UMC,65,IBRD
Belgium,BEL,ECS,HIC,122,
Belize,BLZ,LCN,UMC,311,Blend
Benin,BEN,SSF,LMC,162,IDA
Bermuda,BMU,NAC,HIC,254,
Bhutan,BTN,SAS,LMC,358,IDA
Bolivia,BOL,LCN,LMC,35,IBRD
Bosnia and Herzegovina,BIH,ECS,UMC,163,IBRD
Botswana,BWA,SSF,UMC,419,IBRD
Brazil,BRA,LCN,UMC,344,IBRD
British Virgin Islands,VGB,LCN,HIC,235,
Brunei Darussalam,BRN,EAS,HIC,62,
Bulgaria,BGR,ECS,HIC,425,IBRD
Burkina Faso,BFA,SSF,LIC,409,IDA
Burundi,BDI,SSF,LIC,260,IDA
Cabo Verde,CPV,SSF,UMC,320,Blend
Cambodia,KHM,EAS,LMC,218,IDA
Cameroon,CMR,SSF,LMC,222,Blend
Canada,CAN,NAC,HIC,219,
Cayman Islands,CYM,LCN,HIC,195,
Central African Republic,CAF,SSF,LIC,425,IDA
Chad,TCD,SSF,LIC,327,IDA
Channel Islands,CHI,ECS,HIC,21,
Chile,CHL,LCN,HIC,258,IBRD
China,CHN,EAS,UMC,408,IBRD
Colombia,COL,LCN,UMC,119,IBRD
Comoros,COM,SSF,LMC,315,IDA
"Congo, Dem. Rep.",COD,SSF,LIC,225,IDA
"Congo, Rep.",COG,SSF,LMC,494,Blend
Costa Rica,CRI,LCN,HIC,434,IBRD
Côte d’Ivoire,CIV,SSF,LMC,478,Blend
Croatia,HRV,ECS,HIC,373,IBRD
Cuba,CUB,LCN,UMC,305,
Curaçao,CUW,LCN,HIC,308,
Cyprus,CYP,ECS,HIC,472,
Czechia,CZE,ECS,HIC,223,
Denmark,DNK,ECS,HIC,68,
Djibouti,DJI,MEA,LMC,what???,IDA
Dominica,DMA,LCN,UMC,341,Blend
Dominican Republic,DOM,LCN,UMC,380,IBRD
Ecuador,ECU,LCN,UMC,283,IBRD
"Egypt, Arab Rep.",EGY,MEA,LMC,388,IBRD
El Salvador,SLV,LCN,UMC,327,IBRD
Equatorial Guinea,GNQ,SSF,UMC,186,IBRD
Eritrea,ERI,SSF,LIC,484,IDA
Estonia,EST,ECS,HIC,347,
Eswatini,SWZ,SSF,LMC,215,Blend
Ethiopia,ETH,SSF,NA,48,IDA
Faroe Islands,FRO,ECS,HIC,250,
Fiji,FJI,EAS,UMC,397,Blend
Finland,FIN,ECS,HIC,245,
France,FRA,ECS,HIC,473,
French Polynesia,PYF,EAS,HIC,128,
Gabon,GAB,SSF,UMC,109,IBRD
"Gambia, The",GMB,SSF,LIC,307,IDA
Georgia,GEO,ECS,UMC,290,IBRD
Germany,DEU,ECS,HIC,358,
Ghana,GHA,SSF,LMC,102,IDA
Gibraltar,GIB,ECS,HIC,339,
Greece,GRC,ECS,HIC,271,
Greenland,GRL,ECS,HIC,470,
Grenada,GRD,LCN,UMC,190,Blend
Guam,GUM,EAS,HIC,68,
Guatemala,GTM,LCN,UMC,300,IBRD
Guinea,GIN,SSF,LMC,158,IDA
Guinea-Bissau,GNB,SSF,LIC,125,IDA
Guyana,GUY,LCN,HIC,442,IDA
Haiti,HTI,LCN,LMC,311,IDA
Honduras,HND,LCN,LMC,480,IDA
"Hong Kong SAR, China",HKG,EAS,HIC,372,
Hungary,HUN,ECS,HIC,489,
Iceland,ISL,ECS,HIC,27,
India,IND,SAS,LMC,225,IBRD
Indonesia,IDN,EAS,UMC,218,IBRD
"Iran, Islamic Rep.",IRN,MEA,UMC,no idea,IBRD
Iraq,IRQ,MEA,UMC,360,IBRD
Ireland,IRL,ECS,HIC,461,
Isle of Man,IMN,ECS,HIC,428,
Israel,ISR,MEA,HIC,396,
Italy,ITA,ECS,HIC,83,
Jamaica,JAM,LCN,UMC,94,IBRD
Japan,JPN,EAS,HIC,1,
Jordan,JOR,MEA,LMC,456,IBRD
Kazakhstan,KAZ,ECS,UMC,208,IBRD
Kenya,KEN,SSF,LMC,47,Blend
Kiribati,KIR,EAS,LMC,229,IDA
"Korea, Dem. People's Rep.",PRK,EAS,LIC,145,
"Korea, Rep.",KOR,EAS,HIC,28,
Kosovo,XKX,ECS,UMC,424,IDA
Kuwait,KWT,MEA,HIC,358,
Kyrgyz Republic,KGZ,ECS,LMC,338,IDA
Lao PDR,LAO,EAS,LMC,371,IDA
Latvia,LVA,ECS,HIC,142,
Lebanon,LBN,MEA,LMC,5,IBRD
Lesotho,LSO,SSF,LMC,91,IDA
Liberia,LBR,SSF,LIC,133,IDA
Libya,LBY,MEA,UMC,N/A,IBRD
Liechtenstein,LIE,ECS,HIC,172,
Lithuania,LTU,ECS,HIC,200,
Luxembourg,LUX,ECS,HIC,416,
"Macao SAR, China",MAC,EAS,HIC,,
Madagascar,MDG,SSF,LIC,442,IDA
Malawi,MWI,SSF,LIC,359,IDA
Malaysia,MYS,EAS,UMC,468,IBRD
